History
Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
23.11.2022 18:00:02,25.11.2022 11:50:16,AUDCAD,Sell,0.01,0.00000,0.89996,0.89938,0.89996,-5.8,-0.52,01:17:50:14,-0.05%
24.11.2022 16:15:01,25.11.2022 11:50:16,AUDCAD,Sell,0.03,0.00000,0.89996,0.90223,0.89996,22.7,4.97,00:19:35:15,0.48%
23.11.2022 17:00:01,25.11.2022 11:42:41,AUDCAD,Sell,0.02,0.00000,0.90016,0.89605,0.90016,-41.1,-6.33,01:18:42:40,-0.62%
23.11.2022 18:00:01,25.11.2022 11:42:41,AUDCAD,Sell,0.04,0.00000,0.90016,0.89943,0.90016,-7.3,-2.54,01:17:42:40,-0.25%
24.11.2022 16:15:01,25.11.2022 11:42:41,AUDCAD,Sell,0.08,0.00000,0.90016,0.90228,0.90016,21.2,12.36,00:19:27:40,1.22%
24.11.2022 14:45:00,25.11.2022 11:30:00,NZDCAD,Sell,0.01,0.00000,0.83261,0.83602,0.83352,25.0,1.83,00:20:45:00,0.18%
23.11.2022 17:00:00,25.11.2022 11:20:24,AUDCAD,Sell,0.02,0.00000,0.90060,0.89609,0.90057,-44.8,-6.88,01:18:20:24,-0.67%
23.11.2022 18:00:00,25.11.2022 11:20:24,AUDCAD,Sell,0.04,0.00000,0.90060,0.89947,0.90057,-11.0,-3.64,01:17:20:24,-0.36%
24.11.2022 16:30:00,25.11.2022 11:20:24,AUDCAD,Sell,0.08,0.00000,0.90060,0.90275,0.90057,21.8,12.72,00:18:50:24,1.26%
23.11.2022 18:00:01,25.11.2022 10:58:53,AUDCAD,Sell,0.01,0.00000,0.90064,0.89942,0.90064,-12.2,-1.00,01:16:58:52,-0.10%
24.11.2022 16:15:00,25.11.2022 10:58:53,AUDCAD,Sell,0.03,0.00000,0.90064,0.90229,0.90064,16.5,3.58,00:18:43:53,0.35%
23.11.2022 18:00:00,25.11.2022 10:30:01,NZDCAD,Sell,0.02,0.00000,0.83297,0.83415,0.83400,1.5,0.00,01:16:30:01,0.00%
23.11.2022 18:30:00,25.11.2022 08:00:01,NZDCAD,Sell,0.02,0.00000,0.83323,0.83459,0.83383,7.6,0.92,01:13:30:01,0.09%
23.11.2022 17:00:00,25.11.2022 01:00:02,NZDCAD,Sell,0.02,0.00000,0.83362,0.83261,0.83508,-24.7,-3.92,01:08:00:02,-0.39%
